chr	start	end	body_CpG_count	up_CpG_count	down_CpG_count	body_meth	up_meth	down_meth
chr1	69561642	69561998	22	8	2	92.2	37.0	83.8
chr1	72300630	72346175	246	23	5	58.2	71.4	40.6
chr1	73303100	73303450	23	12	8	88.8	56.5	56.4
chr1	75377906	75383308	84	45	20	66.1	66.6	67.0
chr1	76634681	76634963	20	9	10	91.9	38.3	63.6
chr1	79756095	79757342	7	12	11	88.1	78.3	90.2
chr1	80728656	80728982	24	7	11	88.2	31.6	29.4
chr1	80939072	80945262	80	10	26	65.9	71.9	58.5
chr1	82497608	82497931	24	6	6	85.2	46.2	42.7
chr1	85282937	85283266	23	10	21	96.0	76.8	78.7
chr1	89010225	89012940	27	11	17	96.6	96.7	98.3
chr1	91668603	91668782	10	17	64	92.2	72.9	91.3
chr1	91668766	91669341	26	26	43	94.9	80.2	85.9
chr1	91766504	91767775	10	23	22	73.1	71.8	65.6
chr1	92017613	92018594	12	15	12	58.0	65.4	69.9
chr1	95674419	95676834	8	10	9	34.2	47.4	23.9
chr1	100922995	100923314	22	12	5	100.0	76.6	99.0
chr1	104177225	104177541	25	3	10	83.9	81.0	65.9
chr1	109059974	109060667	8	20	31	85.1	87.7	97.9
chr1	112149168	112162080	102	6	9	54.6	41.2	51.5
chr1	113068700	113071154	162	18	48	96.3	79.1	48.6
chr1	113173009	113173297	20	6	6	97.0	76.4	75.9
chr1	113257006	113257467	8	19	12	64.3	56.6	52.9
chr1	113497205	113503254	87	12	5	75.3	68.1	54.0
chr1	115686862	115690218	40	27	28	94.9	83.8	93.0
chr1	116369410	116369490	5	26	27	86.2	84.3	84.7
chr1	119016148	119016466	26	10	9	98.6	75.5	85.3
chr1	120436615	120442967	84	30	22	96.4	94.9	96.1
chr1	120824839	120829736	35	9	18	95.2	93.7	94.9
chr1	120827522	120829339	7	17	18	100.0	94.8	95.5
chr1	121149849	121150171	23	22	21	94.1	53.9	75.3
chr1	121616051	121617916	25	39	31	60.5	70.1	61.2
chr1	121618819	121619354	5	28	37	40.1	62.8	65.5
chr1	121621777	121623037	28	35	37	65.9	64.4	62.2
chr1	121629218	121629891	14	40	46	74.2	67.6	72.5
chr1	121881148	121884880	45	41	38	77.0	71.4	66.3
chr1	124806342	124807869	30	46	48	53.9	55.3	61.9
chr1	124826487	124828017	8	46	44	65.3	62.8	58.1
chr1	124861066	124862596	25	34	35	51.2	54.4	52.6
chr1	124886790	124888322	25	17	34	51.3	54.6	52.1
chr1	125083692	125083905	11	75	105	73.2	75.7	79.9
chr1	125180741	125182063	60	99	99	77.3	78.9	77.8
chr1	125182889	125183345	24	96	53	73.9	78.4	78.5
chr1	143275363	143275456	5	84	68	81.5	77.8	76.7
chr1	144118906	144119231	24	17	21	97.0	86.6	82.3
chr1	144152426	144152495	15	51	180	95.3	73.7	86.3
chr1	144152602	144152769	32	90	128	96.6	81.4	81.7
chr1	144846229	144846559	24	22	17	96.3	84.5	86.8
chr1	145303161	145309524	44	10	16	86.8	61.9	90.9
chr1	145304950	145311315	44	16	16	86.6	91.3	82.2
chr1	145354099	145355671	13	16	10	84.0	96.0	86.7
chr1	145358846	145360418	12	16	11	86.5	93.3	83.3
chr1	145363600	145365172	13	16	11	82.9	92.8	92.3
chr1	145369568	145372762	21	21	17	85.2	93.5	90.4
chr1	146067231	146070370	26	22	11	90.4	77.4	74.5
chr1	146074349	146077544	20	18	14	69.1	82.2	80.1
chr1	146136989	146143284	80	24	24	90.4	94.7	55.6
chr1	146956976	146959596	53	17	22	99.8	96.5	93.2
chr1	148572586	148577325	35	17	11	83.1	87.1	86.6
chr1	150729225	150729572	22	78	34	99.3	97.5	96.7
chr1	150781794	150781881	7	81	35	95.3	92.6	91.7
chr1	151600787	151600836	5	90	51	93.6	92.9	91.4
chr1	152583051	152615294	200	12	9	54.2	81.2	66.0
chr1	158897740	158900190	8	7	15	63.8	66.8	75.5
chr1	158991561	158996410	28	7	23	86.8	65.4	62.7
chr1	160985050	160985360	8	42	26	86.8	90.6	90.0
chr1	168055321	168056493	40	12	8	99.0	87.0	98.1
chr1	168471776	168471903	12	18	9	99.0	85.6	85.4
chr1	169190782	169191110	22	6	12	99.2	98.8	93.3
chr1	169256357	169276443	138	20	20	88.1	87.0	91.8
chr1	169761275	169761584	18	8	9	93.7	82.0	71.9
chr1	173975599	173975928	22	16	22	99.4	99.6	99.4
chr1	176396268	176396345	7	45	88	97.3	93.0	92.1
chr1	180323854	180324177	24	6	7	99.9	91.3	98.9
chr1	182741666	182741792	10	69	71	96.4	92.5	92.5
chr1	184799722	184800043	22	11	7	99.1	97.5	94.2
chr1	184967905	184968226	23	8	10	96.7	85.8	73.0
chr1	187496024	187496464	5	8	5	43.3	60.0	4.6
chr1	189025817	189026151	23	33	9	91.8	81.7	51.8
chr1	194381378	194382118	5	7	26	68.8	35.4	85.5
chr1	194482021	194485181	6	5	4	48.2	86.9	79.6
chr1	198804620	198806284	10	10	13	96.4	98.6	95.4
chr1	199469598	199471104	11	6	7	76.9	82.1	75.0
chr1	200816810	200816913	8	23	18	99.5	97.0	93.1
chr1	203715148	203717070	26	27	20	71.3	73.8	68.8
chr1	203918538	203920757	105	23	20	91.7	69.5	78.8
chr1	203925146	203926751	18	20	20	63.1	76.7	61.5
chr1	203966701	203967171	6	16	22	76.4	54.4	64.2
chr1	203967181	203976313	69	14	13	54.7	61.1	57.5
chr1	205966738	205967053	26	25	20	92.2	75.7	57.2
chr1	207667717	207672468	86	14	16	16.7	71.4	51.1
chr1	217744169	217744481	25	23	6	96.1	70.4	43.2
chr1	218612571	218612890	22	7	6	79.8	45.7	37.9
chr1	220112112	220112431	25	24	22	99.8	92.6	94.2
chr1	220329601	220330239	6	14	13	91.5	65.5	50.4
chr1	225068829	225069098	18	6	8	84.2	47.3	52.1
chr1	225815112	225815438	6	26	38	95.8	81.9	81.2
chr1	228174256	228174511	10	69	74	0.5	70.2	94.3
chr1	228384459	228384787	23	14	5	86.3	65.7	76.8
chr1	232287372	232287699	23	12	17	87.7	60.1	68.1
chr1	232322844	232324504	9	16	9	48.6	60.6	60.5
chr1	232700829	232701012	7	23	26	78.5	66.9	73.4
chr1	233729409	233729738	21	10	35	97.6	54.6	79.4
chr1	235891275	235891612	24	24	21	99.3	96.1	55.0
chr1	236385786	236388028	127	25	11	95.2	84.7	73.2
chr1	236431625	236431949	24	11	29	95.7	93.0	92.9
chr1	236756477	236757161	19	44	25	88.5	73.7	72.9
chr1	238689007	238689949	8	9	15	62.2	45.3	39.4
chr1	240229699	240231476	14	14	22	44.6	56.8	61.8
chr1	240675331	240675927	10	27	40	70.3	69.4	75.5
chr1	242393760	242394083	12	17	8	94.3	87.3	83.6
chr1	245974701	245975132	28	33	112	98.6	94.3	97.7
chr1	245974917	245975468	36	48	92	97.2	96.0	97.6
chr1	245976209	245976376	7	124	47	100.0	98.4	91.2
chr1	246783012	246783283	5	50	34	60.6	63.6	38.3
chr1	247115882	247116065	11	36	96	78.2	67.0	87.0
chr1	247116062	247116200	7	47	95	93.9	69.6	85.7
chr1	247116568	247118035	70	62	73	86.6	76.1	75.1
chr1	247116614	247117071	22	64	93	90.6	75.3	77.3
chr1	247116936	247117622	32	76	79	88.0	78.1	73.2
chr1	247406228	247406457	15	43	32	97.9	91.4	46.5
chr1	248510772	248519300	54	11	16	79.0	78.4	90.8
chr1	248747430	248747769	27	77	49	86.8	80.3	81.4
chr2	198072	198175	10	73	64	97.9	93.8	87.0
chr2	294104	294295	9	32	31	87.1	86.3	68.2
chr2	306457	306732	15	24	97	90.9	59.6	86.4
chr2	307119	307573	16	60	84	89.6	78.8	81.6
chr2	307131	308217	47	61	59	88.4	79.6	72.6
chr2	308080	308327	13	85	57	71.8	88.7	73.1
chr2	308815	308919	6	95	37	94.1	86.7	57.7
chr2	420373	420426	5	52	106	94.7	78.0	88.7
chr2	427395	427494	11	133	35	87.3	85.6	82.9
chr2	488094	488406	39	63	72	90.5	80.9	75.1
chr2	495609	495818	21	64	74	94.5	83.8	73.8
chr2	732767	732932	16	118	57	89.7	83.1	87.0
chr2	849666	849948	9	42	30	42.2	55.0	47.1
chr2	1009366	1009740	5	19	20	2.6	42.4	33.8
chr2	1093930	1094406	6	17	18	56.5	52.6	64.6
chr2	1106503	1106659	5	46	73	68.3	72.8	73.2
chr2	1106837	1107356	17	47	74	73.9	74.5	74.2
chr2	1107470	1107677	8	62	66	83.5	75.5	72.1
chr2	1107565	1108292	28	62	59	70.7	76.3	76.3
chr2	1108832	1108987	5	74	38	76.2	72.1	79.0
chr2	1343995	1344787	11	24	32	20.2	42.1	42.7
chr2	1610827	1611230	8	42	34	14.8	54.1	40.4
chr2	2034396	2035288	17	36	30	90.4	72.9	82.0
chr2	3786348	3786452	12	39	43	95.8	77.3	84.3
chr2	4166000	4170904	24	12	8	33.3	37.9	28.3
chr2	4171046	4175887	24	10	12	24.1	36.3	52.0
chr2	5069043	5069368	23	13	19	89.9	54.5	55.0
chr2	5347635	5347901	18	7	12	83.5	44.8	43.3
chr2	6260376	6262060	8	13	44	55.7	51.7	68.1
chr2	7120521	7120661	8	27	46	92.7	69.7	82.5
chr2	10200458	10200643	10	30	26	99.8	99.4	95.1
chr2	10697552	10697693	5	44	61	92.0	87.8	91.3
chr2	16110985	16111308	24	18	24	91.9	56.9	70.7
chr2	20466904	20467210	24	17	22	89.3	84.3	72.0
chr2	23845745	23846286	6	19	29	99.7	99.2	93.7
chr2	23846444	23846985	6	17	29	98.8	99.4	88.3
chr2	31119859	31120173	24	14	17	92.7	65.8	59.9
chr2	34470737	34511518	297	18	10	55.8	43.1	55.8
chr2	34809370	34809614	15	14	10	96.1	46.2	49.3
chr2	35750946	35770959	114	9	14	53.0	70.7	57.0
chr2	38403644	38403789	14	70	36	91.8	90.2	88.0
chr2	42605296	42605598	27	49	117	98.9	98.6	99.2
chr2	44257089	44264173	56	11	13	76.5	66.5	67.4
chr2	44556448	44556768	23	14	14	99.1	94.6	90.1
chr2	46206643	46206804	9	10	11	98.7	91.7	83.2
chr2	48554696	48557727	196	26	18	94.9	75.0	79.2
chr2	49305625	49316973	66	11	10	49.3	65.7	68.7
chr2	51699446	51700628	6	10	10	25.5	54.5	33.5
chr2	53398624	53400860	15	11	9	63.6	51.9	49.9
chr2	54338358	54340333	15	7	8	73.1	74.0	57.1
chr2	54466341	54466604	17	14	28	98.8	60.8	96.6
chr2	61653038	61653970	11	15	18	76.8	89.8	80.2
chr2	65580373	65580682	21	25	24	90.5	73.2	68.1
chr2	67906468	67906662	11	20	12	84.5	64.2	58.6
chr2	75805802	75805931	7	30	19	75.0	77.4	79.0
chr2	77749641	77749964	24	15	12	91.1	60.3	65.8
chr2	78558860	78558992	9	2	12	80.4	5.2	67.8
chr2	78830521	78830856	23	15	11	88.3	35.9	20.5
chr2	78849444	78854079	40	8	14	65.5	27.3	32.7
chr2	86544954	86545070	14	19	106	98.7	98.6	99.3
chr2	87348869	87349036	32	76	78	96.8	84.2	86.5
chr2	87362641	87363749	6	8	10	68.7	52.5	45.2
chr2	87397147	87397571	5	18	21	81.7	79.7	82.3
chr2	87416972	87417660	7	12	10	77.3	83.4	70.2
chr2	88522448	88522970	5	16	26	93.6	57.8	80.0
chr2	89790712	89795516	165	74	73	71.4	68.9	73.4
chr2	89815283	89817767	60	69	51	66.3	77.0	63.9
chr2	90290622	90291155	5	2	10	82.9	90.9	79.5
chr2	91412652	91412798	8	71	75	81.8	66.0	67.9
chr2	91477895	91477989	12	111	189	0.6	1.1	2.1
chr2	91478066	91478209	22	133	159	3.4	1.1	2.4
chr2	95959067	95960947	13	17	11	97.5	88.7	86.7
chr2	97188507	97190396	19	20	16	98.9	99.3	97.7
chr2	97204261	97208003	32	22	19	94.3	90.9	99.0
chr2	105054579	105054686	5	12	55	99.3	95.3	99.5
chr2	106322002	106322330	20	30	25	87.4	69.2	69.5
chr2	106466636	106467164	76	106	179	96.4	88.3	95.6
chr2	106467443	106467532	12	211	128	93.0	93.7	95.2
chr2	107827600	107827689	12	119	281	97.8	95.9	96.5
chr2	111224195	111224317	5	63	64	96.6	93.7	90.2
chr2	112139319	112139723	18	118	92	7.0	18.2	33.4
chr2	113393749	113396033	135	12	13	95.5	84.1	78.9
chr2	113651646	113653665	30	20	24	50.2	62.9	81.7
chr2	114870527	114871265	5	14	12	75.1	58.6	35.9
chr2	117135474	117135812	23	13	9	89.6	38.5	55.7
chr2	127787637	127788169	50	38	117	98.0	97.0	96.0
chr2	128471425	128471585	12	31	48	94.4	85.5	56.0
chr2	130061890	130062519	5	35	34	40.1	56.8	57.4
chr2	130066476	130067403	17	35	22	55.9	54.2	57.1
chr2	132038605	132038709	13	106	28	3.4	14.9	20.8
chr2	134209129	134212558	32	12	15	97.9	78.2	90.6
chr2	135033269	135033474	16	24	95	89.2	91.1	95.0
chr2	146105051	146119293	62	6	11	62.6	57.1	46.7
chr2	149902786	149903106	25	14	25	89.7	45.4	76.2
chr2	150542489	150542596	12	39	62	73.8	84.5	89.5
chr2	153555178	153555492	23	18	7	82.9	70.7	52.5
chr2	154039263	154042664	12	5	6	22.6	32.6	41.6
chr2	155331600	155331781	11	16	16	87.7	52.9	61.1
chr2	159999340	159999662	24	6	6	92.6	62.8	77.3
chr2	160120294	160120687	5	10	15	75.5	72.2	78.7
chr2	162809898	162810212	19	8	12	83.6	50.4	68.2
chr2	169575145	169575293	15	54	72	88.0	29.1	92.6
chr2	170150226	170150352	8	81	22	99.5	97.8	97.4
chr2	170483369	170483646	19	11	8	94.7	72.2	56.6
chr2	172139520	172142751	23	17	17	75.0	57.8	73.1
chr2	172315251	172321375	96	27	21	77.6	69.8	78.5
chr2	173333855	173334175	21	6	6	81.9	65.0	70.4
chr2	175813071	175813673	19	10	29	84.8	23.8	71.2
chr2	176400913	176407311	34	9	8	58.7	46.4	50.0
chr2	177946125	177946388	24	91	92	92.9	93.6	90.9
chr2	177946507	177946832	31	125	51	92.3	93.6	89.2
chr2	177990728	177992484	18	10	12	69.4	60.0	56.1
chr2	181992187	181992869	6	26	6	46.2	80.1	27.8
chr2	182451079	182451393	23	5	14	92.0	62.1	52.4
chr2	187350991	187351297	22	7	10	95.1	63.7	64.9
chr2	187637249	187637322	7	50	47	95.2	87.1	85.8
chr2	191694677	191695004	24	12	21	99.8	88.0	94.8
chr2	191697462	191697796	23	15	15	99.5	93.0	98.6
chr2	191742051	191742292	19	65	57	93.5	95.0	93.0
chr2	193533768	193534107	25	7	5	93.0	46.5	62.0
chr2	193824777	193834040	53	3	20	55.5	49.0	72.9
chr2	194432411	194433719	17	16	10	76.0	62.5	69.3
chr2	194612903	194613009	6	11	5	86.0	70.0	83.5
chr2	195871687	195871965	17	10	16	81.8	55.0	58.6
chr2	196749892	196750223	24	12	16	98.9	90.5	66.6
chr2	201856925	201857245	25	17	23	88.7	64.7	21.2
chr2	209078316	209084225	83	7	12	60.8	43.7	64.7
chr2	209484292	209484376	5	5	26	86.5	40.5	75.3
chr2	213642606	213642844	13	8	12	93.1	54.7	72.2
chr2	214009979	214011488	7	16	18	44.1	54.7	57.0
chr2	214864037	214866106	10	8	19	64.1	73.5	78.3
chr2	220481211	220481538	24	8	18	87.5	60.8	60.4
chr2	223000371	223005158	51	7	4	71.2	82.4	51.8
chr2	224428234	224428681	20	14	14	90.7	64.4	53.1
chr2	226300708	226306452	31	16	11	48.9	53.6	54.4
chr2	230460579	230460921	24	14	15	99.8	96.4	99.6
chr2	231824886	231828395	38	21	18	85.9	81.2	86.4
chr2	231828533	231829492	9	20	19	87.3	85.5	84.5
chr2	231839179	231839703	7	25	25	81.4	87.7	72.2
chr2	231841476	231845557	41	25	24	75.1	73.6	80.6
chr2	231846474	231847008	7	23	21	87.4	80.4	77.7
chr2	235186024	235186352	20	20	17	87.2	55.3	58.5
chr2	235734944	235735088	5	39	44	93.0	64.7	81.6
chr2	237543620	237544082	5	32	24	93.4	86.9	77.9
chr2	239176273	239176356	6	30	53	97.6	88.9	89.4
chr2	239231608	239231747	7	50	38	86.8	41.5	68.7
chr2	240019522	240019843	24	30	44	99.2	98.8	93.2
chr2	240842577	240843038	15	29	28	78.1	62.1	61.1
chr2	240843200	240843416	8	41	16	78.6	72.9	43.3
chr2	240923733	240923939	5	41	62	87.4	73.9	82.2
chr2	241985544	241985817	17	65	66	97.4	61.2	94.3
chr2	242162558	242163592	26	17	10	79.5	70.0	77.8
chr2	242163784	242168424	32	31	20	73.8	78.8	65.7
chr3	940905	941220	25	5	5	90.8	36.2	50.5
chr3	5234143	5234312	8	38	24	94.9	81.7	71.3
chr3	6608472	6611311	16	16	8	53.1	61.3	45.7
chr3	6612077	6612943	5	8	10	43.7	51.3	61.6
chr3	8283951	8285123	8	8	10	30.8	61.7	52.2
chr3	11604259	11605193	15	34	26	72.6	67.1	90.6
chr3	15592885	15593024	10	65	31	98.7	99.2	99.3
chr3	18714325	18714633	24	11	8	93.1	66.1	60.1
chr3	19874322	19874504	6	23	41	76.4	59.7	79.4
chr3	20968025	20972010	53	8	22	54.7	78.6	52.7
chr3	23722566	23722895	20	16	19	97.2	90.6	93.3
chr3	24049295	24049550	16	6	6	91.5	70.4	67.8
chr3	28125965	28126290	23	11	15	98.1	65.7	63.4
chr3	32162369	32162650	18	12	23	95.6	72.0	77.9
chr3	33025573	33025631	5	27	69	99.5	94.0	97.8
chr3	33511697	33512582	9	8	19	100.0	93.3	99.3
chr3	36066627	36066944	25	9	6	77.9	72.5	63.9
chr3	38081460	38081759	25	44	74	97.1	83.2	91.6
chr3	45568394	45568809	21	26	23	100.0	58.8	89.3
chr3	45726859	45727183	23	10	12	99.3	87.7	94.8
chr3	46756126	46808788	419	23	17	72.2	76.6	57.4
chr3	47449177	47451949	23	23	8	98.5	95.7	97.6
chr3	48920354	48921292	28	158	35	96.3	1.5	93.2
chr3	49160316	49160638	25	44	13	99.3	93.1	63.2
chr3	49480508	49480975	16	55	40	99.9	98.7	97.7
chr3	49938767	49939538	32	56	115	97.9	90.2	13.7
chr3	52675821	52676155	25	28	27	96.7	96.5	98.8
chr3	66063569	66063882	20	21	25	85.5	81.4	69.4
chr3	68585619	68591101	25	9	6	39.4	36.2	59.9
chr3	70894167	70894496	6	13	10	59.0	67.4	46.9
chr3	71193186	71193486	10	13	19	81.0	75.5	78.7
chr3	75534598	75534894	5	8	10	74.4	53.3	39.8
chr3	75734279	75734619	5	11	12	90.1	77.2	81.6
chr3	75768367	75768895	6	17	22	94.0	86.6	82.8
chr3	75768996	75771246	22	20	28	82.8	90.1	83.3
chr3	75778711	75780282	41	37	33	96.1	94.4	79.7
chr3	75782685	75782894	13	28	15	96.5	77.2	89.4
chr3	76730510	76730733	8	24	20	80.7	75.7	65.1
chr3	77290142	77290617	11	24	43	66.2	71.7	82.3
chr3	77293546	77294439	21	44	49	92.1	90.4	85.7
chr3	80013848	80014557	6	8	8	77.6	72.5	47.6
chr3	80014544	80015217	6	8	4	41.8	76.9	47.8
chr3	80770514	80770577	9	50	31	96.9	83.9	76.6
chr3	82887505	82887805	5	23	6	65.8	71.2	39.9
chr3	84055791	84058232	8	10	7	35.9	54.5	32.5
chr3	84650297	84653656	16	12	9	67.0	41.7	68.4
chr3	90536600	90537959	24	28	21	67.3	67.9	53.2
chr3	90563894	90568930	17	24	23	53.9	64.0	51.1
chr3	91934804	91936163	18	34	36	83.3	70.7	76.9
chr3	93768819	93768946	5	30	13	62.8	54.0	49.3
chr3	98837542	98837717	14	104	101	90.5	93.4	92.8
chr3	100066506	100066811	20	6	7	99.6	99.2	97.4
chr3	100587903	100588222	20	15	9	94.8	87.4	77.9
chr3	101638721	101640902	44	37	30	89.6	83.5	89.3
chr3	103091505	103091818	23	5	5	90.3	79.7	75.1
chr3	113025235	113033433	115	27	16	82.2	84.3	73.3
chr3	122419595	122419920	24	43	28	92.6	97.9	98.1
chr3	124367670	124368169	40	83	69	94.3	91.3	91.3
chr3	125217451	125218318	10	38	23	93.3	96.4	90.4
chr3	126476105	126476184	13	207	74	0.0	9.4	27.4
chr3	127308884	127309033	11	22	32	92.4	48.4	69.0
chr3	129465624	129465933	24	25	18	98.9	90.9	88.3
chr3	130044523	130087917	512	27	16	68.5	61.7	85.0
chr3	130628722	130634263	63	7	11	73.3	53.0	63.5
chr3	131952457	131952554	8	62	27	96.2	87.1	82.7
chr3	131958958	131959298	23	23	11	94.2	63.0	57.3
chr3	134955060	134955712	7	18	7	99.7	90.2	46.7
chr3	136302171	136307355	58	16	17	95.9	98.5	99.7
chr3	145071937	145073030	5	13	11	45.9	66.6	37.8
chr3	145927181	145931399	66	9	17	78.0	78.2	74.0
chr3	148563647	148567631	55	8	6	60.2	31.6	53.4
chr3	149126585	149126912	24	15	8	98.2	86.2	88.1
chr3	150160278	150160587	23	11	5	89.4	50.3	85.6
chr3	156374381	156375893	13	9	20	59.6	58.4	62.9
chr3	158399112	158399454	24	10	7	99.9	98.0	98.9
chr3	159711196	159711394	12	8	12	93.2	65.5	26.2
chr3	161528940	161529273	24	14	9	91.0	59.9	63.8
chr3	162999523	163005764	24	6	8	49.2	36.8	45.2
chr3	175132352	175132425	5	53	81	96.5	89.6	92.6
chr3	177663527	177667624	60	12	24	76.0	67.7	68.7
chr3	179121376	179121485	9	154	21	98.9	94.6	93.5
chr3	179727891	179728038	9	34	81	98.2	96.2	98.0
chr3	183957395	183957554	8	98	58	98.4	93.4	95.5
chr3	185299540	185299864	24	17	20	94.9	57.2	75.0
chr3	186874266	186874343	7	88	28	97.4	92.1	85.2
chr3	189506718	189507581	6	8	9	85.0	79.0	52.0
chr3	190019555	190022734	12	11	33	56.6	45.8	75.8
chr3	190572850	190573146	22	17	11	93.9	60.8	57.7
chr3	190751224	190751349	10	16	10	90.9	71.7	57.8
chr3	191546400	191548348	10	10	6	54.7	58.5	40.6
chr3	192345392	192345701	25	7	8	88.7	57.7	61.8
chr3	192641105	192641403	21	14	20	89.5	47.9	59.4
chr3	193026564	193027103	6	5	19	68.8	40.8	76.1
chr3	193157540	193167615	77	37	11	65.4	68.2	34.6
chr3	194400435	194401191	29	29	19	97.9	74.8	95.6
chr3	194663356	194663747	14	28	28	92.5	89.2	98.7
chr3	194677953	194679560	22	11	37	64.0	61.4	72.6
chr3	194846168	194846448	5	28	28	84.4	70.6	68.5
chr3	195478500	195479296	6	19	12	98.9	71.5	81.0
chr3	195644766	195645239	5	51	50	94.1	94.3	86.9
chr3	195842345	195843060	17	33	55	83.8	86.9	83.4
chr3	195874573	195875060	45	101	107	99.1	94.8	95.9
chr3	195874710	195875064	32	110	107	100.0	95.2	95.9
chr3	195961251	195961485	6	39	43	99.6	87.6	99.5
chr3	196098951	196099675	6	27	42	3.5	66.7	80.2
chr3	196145386	196145485	6	55	37	94.1	82.0	80.9
chr3	196543267	196543343	5	31	39	97.4	86.0	91.4
chr3	197030225	197030391	12	143	46	85.9	6.2	85.8
chr3	197207701	197212375	22	21	14	95.3	99.6	99.6
chr3	198004870	198005180	6	25	25	81.9	79.4	82.3
chr3	198104652	198105000	17	97	69	96.8	55.0	91.6
chr3	198105559	198105656	7	111	35	98.0	85.8	84.5
chr4	717038	717166	6	74	60	99.1	99.0	96.2
chr4	736850	736900	5	67	79	96.4	98.5	98.2
chr4	736898	737049	15	67	72	98.1	98.3	95.9
chr4	744682	746730	196	78	140	99.6	86.9	98.1
chr4	745749	745805	5	139	192	100.0	97.8	99.5
chr4	746862	746975	12	192	121	99.5	99.6	96.7
chr4	747204	747601	40	195	67	99.2	99.6	94.5
chr4	747516	747684	16	195	61	100.0	99.5	93.9
chr4	826379	826487	13	188	104	0.3	13.2	18.4
chr4	867473	867543	5	76	65	100.0	96.6	98.6
chr4	904216	904305	5	72	106	99.2	95.6	97.9
chr4	1545640	1547129	31	69	80	82.7	58.3	54.7
chr4	1601229	1601941	22	63	78	84.2	63.0	75.8
chr4	1720930	1721013	9	96	158	0.0	9.3	0.5
chr4	2396077	2396730	10	53	59	70.6	74.7	73.0
chr4	2430188	2430313	11	65	53	97.7	79.1	82.6
chr4	3309063	3309221	6	77	64	56.5	81.2	73.5
chr4	3564105	3564728	46	70	100	97.5	79.9	91.0
chr4	7255854	7255958	9	36	45	90.0	54.5	57.9
